Title,Link,Summary,Published Date,Source,Location
Mobile Block Factory Turns Rubble into Lego-Like Blocks for Disaster Relief Housing,https://www.core77.com/posts/133195/Mobile-Block-Factory-Turns-Rubble-into-Lego-Like-Blocks-for-Disaster-Relief-Housing,"When structures are destroyed by war or natural disasters, there is an urgent need to rehouse displaced residents. Most disaster relief housing initiatives focus on deploying tent-like structures. But an Australian charity called Mobile Crisis Construction ha…",2024-08-01T15:00:00Z,Core77.com,
Hiker missing after getting swept into Grand Canyon creek during flash flood: NPS,https://abcnews.go.com/US/hiker-search-grand-canyon-flash-flood/story?id=113112922,"A 33-year-old woman is missing following a flash flood in Grand Canyon National Park, officials said.",2024-08-24T00:16:49Z,ABC News,
Editorial: Is this the last possible solution to Chicago’s parking meter disaster?,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_d6c658df-f99e-4850-a1fb-57c1ac647d9c,,2024-08-15T10:00:00Z,Yahoo Entertainment,Chicago
Manslaughter Probe Launched as Final Body in Superyacht Disaster Is Found,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_d4a4933e-2a39-4018-943d-30a9b0c40262,,2024-08-23T13:24:23Z,Yahoo Entertainment,
On the Bus With the RFK Jr. Bros,https://www.wired.com/story/on-the-bus-with-the-rfk-jr-bros/,"As Robert F. Kennedy Jr. was preparing to endorse Donald Trump, two of his strongest soldiers were blaring AI-generated music while rolling a bus through Chicago. “We maintain,"" one said, “the good vibes.”",2024-08-29T10:30:00Z,Wired,Chicago
Barbara Corcoran’s Top 8 Tips That Will Save You From Financial Disaster,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_b4a49ba4-67e1-4882-9444-5b73e11cd866,,2024-08-15T14:00:11Z,Yahoo Entertainment,
'There's a reckoning happening': An underrated risk will crater property values in high-risk markets by up to 60%,https://www.businessinsider.com/real-estate-housing-market-climate-change-outlook-prediction-floods-burt-2024-8,"After making $80 million from the subprime mortgage crisis, David Burt sees another threat coming that could sink home values by up to 60%.",2024-08-09T08:00:02Z,Business Insider,
"Debby spurs flash flood warnings in Chemung, Steuben, Schuyler counties. What to know.",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_02616660-ccbe-4ddf-ad77-512f696b416b,,2024-08-09T15:21:19Z,Yahoo Entertainment,"Debby, Chemung"
China pledges billions more in funds to aid disaster-stricken farm regions,https://www.yahoo.com/news/china-vows-financial-support-restore-041431035.html,BEIJING/HONG KONG (Reuters) -China's central bank said on Tuesday it will provide an additional 100 billion yuan ($14 billion) to banks to support rebuilding...,2024-08-13T04:14:31Z,Yahoo Entertainment,"China, BEIJING"
Flash flood rampaged through idyllic canyon of azure waterfalls; search for hiker ends in heartbreak,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_94a42f85-0d20-4bba-a18f-3b6d5d157cd3,,2024-08-30T04:15:05Z,Yahoo Entertainment,
Two people are dead after Wayne County crash,https://www.pahomepage.com/news/two-people-dead-after-wayne-county-crash/,"CHERRY RIDGE TOWNSHIP, WAYNE COUNTY (WBRE/WYOU)— Two people are dead after a crash involving three vehicles on Saturday night. According to the Office of the...",2024-08-18T17:58:03Z,Pahomepage.com,"CHERRY RIDGE TOWNSHIP, WAYNE COUNTY"
"Ahead of soccer's longest-ever season, are players on verge of burning out?",https://www.espn.com/soccer/story/_/id/40746374/soccer-burnout-longest-ever-season-2024-25,"For years, critics have highlighted the risks of too many games for top players, but this season will be the most grueling yet for the likes of Mbappe, Haaland and Bellingham. Is the sport heading for disaster?",2024-08-13T12:38:25Z,ESPN,Bellingham
Zapping Beaches With Electricity Can Produce ‘Natural Cement’ Where We Need It Most,https://gizmodo.com/zapping-beaches-with-electricity-can-produce-natural-cement-where-we-need-it-most-2000489902,"Coastlines are washing away, but a surprising technique could make grains of sand stick together and prevent erosion.",2024-08-22T16:47:55Z,Gizmodo.com,
"The Atari 7800+ Looks Just Like the Long-Forgotten Console, but Now With Games Worth Playing",https://gizmodo.com/the-atari-7800-looks-just-like-the-long-forgotten-console-but-now-with-games-worth-playing-2000489005,"Atari’s follow up to its 2600+ retro console for modern TVs is the Atari 7800+. Just like the console from 1986, it’s backwards compatible with the 2600.",2024-08-20T18:10:12Z,Gizmodo.com,
Salt Lake Temple towers loaded on new seismic foundation as renovations continue,https://www.abc4.com/news/local-news/salt-lake-temple-renovation-update/,SALT LAKE CITY (ABC4) — Officials with the Church of Jesus Christ of Latter-day Saints provided an update on the renovation work on the downtown Salt Lake...,2024-08-30T18:26:28Z,ABC 4,Salt Lake
The crucial first step in preparing for a climate disaster,https://www.vox.com/climate/364660/natural-weather-disaster-climate-fire-hurricane-flood,"When your phone makes that discordant shrill noise and a disaster alert pops up, do you know what to do? Do you have a go bag? Do you have a place to crash for a few days? Do you have a way to get there? What about your kids or your pets? And if your […]",2024-08-02T20:21:09Z,Vox,
Japan's Kishida cancels Asia trip after scientists urge preparations for a possible 'megaquake',https://www.yahoo.com/news/japans-kishida-cancels-asia-trip-130239804.html,Japanese Prime Minister Fumio Kishida canceled a planned trip to Central Asia on Friday to lead the government’s response after scientists urged people to...,2024-08-09T13:02:39Z,Yahoo Entertainment,"Japan, Kishida"
"This Disaster-Preparedness Clock Will Support You With A Flashlight, Radio And Charging Abilities",https://www.yankodesign.com/2024/08/25/this-disaster-preparedness-clock-will-support-you-with-a-flashlight-radio-and-charging-abilities/,"This Disaster-Preparedness Clock Will Support You With A Flashlight, Radio And Charging AbilitiesWhen disaster strikes, staying informed and prepared is crucial. The Rhythm 4RQ002-003 Disaster-preparedness Clock is a remarkable gadget designed with precisely …",2024-08-25T19:15:37Z,Yanko Design,
Bodies recovered after 62 die in Brazil plane crash,https://www.bbc.com/news/articles/c4gzpl2j260o,Teams worked through the night to find victims of the disaster in São Paulo state which killed all on board.,2024-08-10T15:04:16Z,BBC News,"Brazil, São Paulo"
"Hacked, scammed, exposed: Why you're 1 step away from disaster online",https://www.foxnews.com/tech/hacked-scammed-exposed-why-youre-one-step-away-from-disaster-online,"Stay safe online: Tech expert Kurt “CyberGuy"" Knutsson reveals some preventive steps you can take to help avoid security and privacy disasters.",2024-08-05T14:00:23Z,Fox News,
Far right eyes political earthquake as Germans head to the polls,https://www.bbc.com/news/articles/c05jvve89g3o,The far-right Alternative for Germany is set to do very well in state elections in the east.,2024-08-30T23:07:32Z,BBC News,Germany
Waymo Is Unleashing Robotaxis on Bay Area Freeways This Week,https://gizmodo.com/waymo-is-unleashing-robotaxis-on-bay-area-freeways-this-week-2000485916,"If you live in California, vehicles with no drivers may soon be zipping down the freeway past your own car.",2024-08-12T19:15:40Z,Gizmodo.com,California
Trump Returns to Twitter in a Weird Way,https://gizmodo.com/trump-returns-to-twitter-in-a-weird-way-2000485796,The former president's account is posting ahead of his interview with Elon Musk.,2024-08-12T13:30:51Z,Gizmodo.com,
Fire at Nuclear Power Plant in Ukraine Puts Experts on Edge,https://gizmodo.com/fire-at-nuclear-power-plant-in-ukraine-puts-experts-on-edge-2000485875,"Images of a cooling tower belching black are frightening, but Russia says it’s all under control now.",2024-08-12T16:20:15Z,Gizmodo.com,"Russia, https://gizmodo.com/fire-at-nuclear-power-plant-in-ukraine-puts-experts-on-edge-2000485875"
RFK Jr. Might Have Broken the Law By Allegedly Decapitating a Whale With a Chainsaw,https://gizmodo.com/rfk-jr-might-have-broken-the-law-by-allegedly-decapitating-a-whale-with-a-chainsaw-2000491413,An environmental group is upset with RFK Jr. over an old story about the time he cut the head off a dead whale.,2024-08-27T14:30:11Z,Gizmodo.com,
Marvel Cites ‘Egregious Misconduct’ For Firing X-Men ’97 Showrunner Beau DeMayo,https://gizmodo.com/marvel-x-men-97-beau-demayo-firing-allegations-disney-2000487903,"After months of silence, both DeMayo and Marvel are now going after each other in the court of public opinion.",2024-08-16T14:00:46Z,Gizmodo.com,Marvel
